Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
622644,,3+kk,90.0,23411.0,7.804 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ne,Ano,Ne,,,,,,50.0923827,14.4343624,18. 10. 2020,,,
622656,,1+kk,25.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622582,,1+kk,30.0,13950.0,4.650 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0739646,14.4285676,21. 09. 2020,,,
622826,,2+kk,100.0,63750.0,21.250 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ano,Ano,Ne,,,,,,50.0910993,14.4324925,01. 10. 2020,,,
622660,,1+kk,22.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622877,,1+kk,26.0,25500.0,8.500 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.077834,14.422878,21. 09. 2020,,,
602574,,2+kk,71.0,21000.0,6.500 Kč,21.000 Kč,Praha,Nové Město,Osobní,Cihla,,5,Ne,Ne,Ano,Ne,,,,,,50.078862,14.419293,09. 04. 2020,G,,
583829,,Garsoniéra,20.0,13000.0,,13.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,standardní: běžné materiály a technologie,,první až předposlední podlaží,,,50.078482,14.417155,01. 01. 2020,G,,
555900,,2+kk,56.0,22000.0,4.000 Kč,22.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,1,Ano,Ne,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,,50.0764092,14.4160062,ihned,A,,
624254,,2+kk,60.0,45000.0,15.000 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0841324,14.4313324,21. 09. 2020,,,
192166,,2+kk,67.0,14900.0,1.450 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0924455,14.4348263,,,,
626584,,2+1,72.0,18000.0,6.000 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0903135,14.4354588,21. 09. 2020,,,
